Nama,NIK,Tanggal Lahir,Alamat
"Maya Gita,9481240101470741,2003-03-03,""Jl. Cikapayang No. 6, Tomohon, Sumatera Selatan 36462"""
"Tiara Celine,2542035655444101,2001-07-29,""Jalan M.H Thamrin No. 41, Pekalongan, SN 27837"""
"Ziva Melody,9124500671161220,2003-10-25,""Jl. Pasteur No. 59, Binjai, Sulawesi Barat 55355"""
"Amanda Hafiz,8588834999942334,2000-08-28,""Gang Wonoayu No. 703, Tangerang Selatan, PA 11039"""
"Sheila Reyhan,8433063852914100,2001-09-15,""Jalan Rajawali Timur No. 70, Gorontalo, KT 88487"""
"Dion Adinda,1409482530850148,2001-08-27,""Gg. Jend. A. Yani No. 439, Banjarbaru, Sulawesi Tenggara 16451"""
"Gita Kirana,6864856288787779,2000-08-12,""Gg. Monginsidi No. 1, Pasuruan, JK 38780"""
"Tiara Rendi,6153354163907779,2000-10-15,""Gang Suniaraja No. 2, Malang, Nusa Tenggara Timur 43840"""
"Felicia Tegar,6755520824400520,2002-08-23,""Jalan Jakarta No. 62, Tegal, PB 63926"""
"Sheila Tania,9007371661995018,2003-02-09,""Jl. Suryakencana No. 983, Lhokseumawe, SU 62925"""
"Tiara Yasmin,3609130551048004,2001-01-10,""Jalan Astana Anyar No. 66, Palembang, Kepulauan Riau 31220"""
"Maya Reyhan,3205665349223816,2002-09-21,""Jl. Setiabudhi No. 728, Tasikmalaya, Papua 67722"""
"Reyhan Nina,5085159421059155,2002-02-04,""Jalan Pasteur No. 33, Batam, Kalimantan Barat 97573"""
"Tiara Maya,1539648418445985,2004-02-02,""Gang Suniaraja No. 9, Pematangsiantar, GO 70388"""
"Tegar Felicia,4743585577598061,2003-10-26,""Jl. PHH. Mustofa No. 64, Pangkalpinang, Jawa Timur 49082"""
"Tegar Nina,2837676766801528,2004-05-24,""Jl. Indragiri No. 8, Mojokerto, SR 70279"""
"Reyhan Ziva,2294054777034315,2002-03-03,""Gang Suryakencana No. 2, Bekasi, JA 51868"""
"Kirana Bagas,7470440650950946,2001-10-23,""Jl. Rumah Sakit No. 2, Bontang, KB 64474"""
"Ilham Fikri,9899325714531278,2001-12-27,""Jl. Wonoayu No. 07, Payakumbuh, Aceh 33977"""
"Reyhan Gilang,4591322698129006,2003-12-10,""Jl. M.H Thamrin No. 98, Banjarbaru, KB 05020"""
"Dion Tiara,4337532158439648,2005-05-15,""Jl. Dr. Djunjunan No. 22, Singkawang, KB 95014"""
"Amanda Adinda,1956418614648768,2003-03-13,""Gg. M.H Thamrin No. 472, Tanjungbalai, KR 86833"""
"Ilham Fikri,5201608630143065,2000-12-11,""Gang W.R. Supratman No. 5, Pontianak, Nusa Tenggara Timur 99787"""
"Bagas Adinda,5049601258128914,2004-08-22,""Jalan Abdul Muis No. 071, Singkawang, Sulawesi Barat 05583"""
"Tania Gilang,1871999225237146,2000-07-19,""Jalan Rajawali Timur No. 88, Yogyakarta, Aceh 55699"""
"Gilang Reyhan,9515267832010083,2000-09-12,""Gang Tebet Barat Dalam No. 70, Pariaman, Jawa Tengah 85760"""
"Luna Bagas,6542830805735315,2004-11-18,""Jl. Joyoboyo No. 5, Batam, JT 05682"""
"Jordi Tiara,9671101950272522,2005-04-22,""Gg. Raya Setiabudhi No. 0, Padang Sidempuan, JK 35743"""
"Ziva Tania,3949280226612615,2004-12-01,""Gg. BKR No. 178, Pariaman, SS 35784"""
"Rendi Maya,3816685599612799,2003-03-28,""Jl. BKR No. 68, Ambon, Maluku 91570"""
"Kirana Fikri,2435231024049196,2001-04-30,""Jalan Raya Ujungberung No. 344, Yogyakarta, ST 42241"""
"Maya Gilang,5636232495127018,2000-07-31,""Gang Pasteur No. 493, Batu, Maluku 87020"""
"Fikri Sheila,8918010575533896,2004-06-15,""Jalan Dipatiukur No. 62, Singkawang, Nusa Tenggara Timur 53817"""
"Luna Hafiz,1208754726643854,2005-04-13,""Jalan Erlangga No. 77, Jayapura, Jawa Tengah 56255"""
"Gita Celine,4542012049147623,2004-04-22,""Gg. Gardujati No. 77, Kotamobagu, NT 81615"""
"Dion Sheila,9707137623363886,2005-03-07,""Gang Kutai No. 39, Purwokerto, Jawa Timur 61539"""
"Bella Adinda,6254296410240102,2004-02-13,""Jl. Kapten Muslihat No. 1, Binjai, SG 81724"""
"Reyhan Sheila,1455223792688143,2003-11-26,""Gang Yos Sudarso No. 0, Jambi, Jawa Barat 22784"""
"Luna Celine,6381969809597169,2003-10-08,""Gg. Rajawali Barat No. 4, Tasikmalaya, NT 90986"""
"Dion Jordi,5834081408208479,2001-07-15,""Jalan Abdul Muis No. 8, Binjai, LA 36965"""
"Celine Luna,1968248180885982,2003-09-16,""Jalan Kapten Muslihat No. 723, Mataram, SR 42201"""
"Rendi Fikri,8948451736817510,2000-08-01,""Jalan Ciwastra No. 679, Solok, Kalimantan Barat 86876"""
"Reyhan Luna,4294633882679295,2003-06-22,""Jalan Joyoboyo No. 38, Padang Sidempuan, Papua 09751"""
"Luna Bella,1407508068733441,2005-05-21,""Gg. Rawamangun No. 1, Kota Administrasi Jakarta Barat, SU 89490"""
"Tania Amanda,6136639371815829,2003-05-17,""Gang Joyoboyo No. 5, Manado, Lampung 20949"""
"Ziva Hafiz,4265322737266185,2002-09-01,""Jl. Kapten Muslihat No. 90, Pasuruan, DKI Jakarta 81442"""
"Felicia Gita,1662315261349139,2002-11-03,""Jl. Rungkut Industri No. 927, Cirebon, BB 72805"""
"Ziva Gita,5056431273108476,2001-03-03,""Gang Sukajadi No. 723, Banjarbaru, Kepulauan Bangka Belitung 02767"""
"Sheila Kirana,8433743482209847,2003-01-06,""Gang Waringin No. 28, Balikpapan, LA 65801"""
"Maya Felicia,6503788763749113,2004-12-20,""Gang Pasteur No. 14, Pangkalpinang, KU 85258"""
"Bagas Bella,9782761996326250,2000-07-16,""Gg. Dipenogoro No. 1, Malang, Kalimantan Timur 43009"""
"Felicia Dion,4361470730919871,2001-03-26,""Jl. Dipatiukur No. 2, Surabaya, Kalimantan Barat 24471"""
"Ziva Adinda,9457295512867112,2004-04-22,""Gang Jamika No. 406, Magelang, BE 42717"""
"Amanda Felicia,2299445597955527,2002-02-27,""Jalan Ir. H. Djuanda No. 6, Singkawang, GO 41011"""
"Tegar Celine,5585769234268953,2005-04-24,""Gg. Jakarta No. 0, Surakarta, PB 25690"""
"Amanda Sheila,1362583286946576,2004-11-01,""Gang Cikutra Timur No. 3, Meulaboh, SU 98554"""
"Gilang Tegar,2234313638462469,2003-11-10,""Gang Ciwastra No. 43, Purwokerto, Banten 34615"""
"Jordi Yasmin,5267109296157908,2004-08-03,""Jl. BKR No. 093, Meulaboh, DI Yogyakarta 78700"""
"Hafiz Nina,2341539292623825,2003-05-04,""Gg. Gedebage Selatan No. 878, Ternate, Kalimantan Timur 02707"""
"Gilang Luna,5643262914905932,2000-11-03,""Jl. Medokan Ayu No. 417, Semarang, DI Yogyakarta 17993"""
"Celine Reyhan,9389021725463004,2000-12-27,""Gang Raya Ujungberung No. 982, Jambi, Banten 51142"""
"Yasmin Reyhan,2463687567847201,2003-12-25,""Gg. Pacuan Kuda No. 0, Bengkulu, Papua Barat 07100"""
"Gita Ilham,6552945996824115,2001-12-23,""Gang Gegerkalong Hilir No. 248, Padang Sidempuan, Kalimantan Utara 90927"""
"Ilham Felicia,4029784149776069,2001-03-14,""Jalan Stasiun Wonokromo No. 318, Solok, PA 73403"""
"Aurel Cinta,7354905589836263,2003-06-18,""Jl. Sadang Serang No. 621, Makassar, SU 62962"""
