Nama,NIK,Tanggal Lahir,Alamat
Aurel Cinta,7354905589836263,18/06/2003,"Jl. Sadang Serang No. 621, Makassar, SU 62962"
Cinta Nabila,5040642822380031,12/04/2002,"Jalan Kebonjati No. 88, Surabaya, Lampung 31069"
Laras Intan,1047298822764192,15/02/2005,"Gg. Abdul Muis No. 14, Dumai, GO 32417"
Tasya Dinda,1713604116924103,07/06/2001,"Gang Kapten Muslihat No. 18, Denpasar, PA 52704"
Salsabila Putri,3305156274024532,11/03/2004,"Gg. Ahmad Yani No. 211, Probolinggo, SR 80686"
Laras Zahra,8520677640087085,02/01/2005,"Gang Ciwastra No. 08, Bitung, ST 23320"
Vania Tasya,9468801691479874,20/01/2004,"Jl. Kutisari Selatan No. 51, Meulaboh, Riau 48709"
Arka Vania,4812339792742532,13/06/2005,"Jalan Ir. H. Djuanda No. 9, Bima, GO 85646"
Arka Intan,3594988214140902,31/07/2004,"Gg. Surapati No. 996, Mojokerto, NB 07450"
Daffa Vania,2097511466450618,29/04/2003,"Gang Dipenogoro No. 247, Kota Administrasi Jakarta Timur, SR 37367"
Cinta Vania,6346327898374832,04/11/2004,"Jl. Rajawali Timur No. 8, Bogor, SU 23303"
Anya Keyla,1565717875647989,24/09/2000,"Jalan Pelajar Pejuang No. 78, Subulussalam, JA 35797"
Arka Intan,9152839363832448,17/12/2001,"Jalan Pasirkoja No. 1, Bandar Lampung, PB 29333"
Nadya Iqbal,5828344667595722,18/03/2002,"Jl. Waringin No. 290, Kota Administrasi Jakarta Pusat, MA 66574"
Fadil Rizky,5642093562055818,22/04/2002,"Jalan Abdul Muis No. 5, Langsa, GO 15454"
Dinda Alya,7472070077589577,03/09/2002,"Jl. Cikutra Barat No. 6, Tangerang Selatan, JB 74466"
Daffa Aurel,4866240616549644,03/10/2003,"Jalan Jayawijaya No. 7, Pekalongan, Maluku 82417"
Naufal Laras,4177883302635826,16/07/2001,"Jalan Merdeka No. 34, Magelang, PA 94717"
Salsabila Tasya,4752107355604085,27/11/2000,"Jl. Sukabumi No. 4, Banjarbaru, Jawa Tengah 35697"
Arka Anya,7018746683768024,01/09/2001,"Gg. Rumah Sakit No. 2, Subulussalam, BE 74329"
Nabila Daffa,9778906811438442,19/10/2001,"Gg. KH Amin Jasuta No. 66, Meulaboh, AC 83505"
Alya Nadya,9587495341256345,19/12/2004,"Jl. Merdeka No. 5, Blitar, Gorontalo 89421"
Naufal Fadil,5569602726622358,03/11/2000,"Gang Bangka Raya No. 2, Pasuruan, NT 26033"
Salsabila Arka,1183156965435161,26/07/2001,"Jl. Siliwangi No. 0, Subulussalam, Kepulauan Bangka Belitung 90100"
Daffa Raisa,5234600986617377,08/06/2001,"Jalan M.H Thamrin No. 72, Tanjungbalai, AC 61849"
Naufal Keyla,4484715855860267,14/08/2001,"Gg. Gardujati No. 739, Kota Administrasi Jakarta Selatan, SU 56420"
Aurel Raisa,7731228454533429,11/02/2005,"Gang Moch. Toha No. 011, Bukittinggi, JK 14374"
Fadil Rizky,8102357022867714,12/09/2002,"Jl. Cihampelas No. 55, Ternate, JA 00225"
Intan Cinta,3171867658254844,29/06/2003,"Gg. Sadang Serang No. 166, Kota Administrasi Jakarta Timur, PB 62120"
Aurel Raka,7949064256632606,22/10/2001,"Gang K.H. Wahid Hasyim No. 6, Singkawang, Bali 77167"
Keyla Nabila,7815557910607583,03/11/2000,"Jalan Tebet Barat Dalam No. 9, Surakarta, Nusa Tenggara Barat 63756"
Rizky Fadil,1399338042237343,18/09/2001,"Gg. Yos Sudarso No. 175, Magelang, Kepulauan Riau 83866"
Arka Nadya,4049364700761729,14/06/2002,"Gang Dipatiukur No. 75, Payakumbuh, Bali 66088"
Aurel Nadya,6493871627839287,15/06/2000,"Gg. Sadang Serang No. 03, Magelang, Sulawesi Utara 71130"
Zahra Arka,7263509639165783,10/05/2003,"Jalan Cihampelas No. 726, Kota Administrasi Jakarta Pusat, KS 16373"
Naufal Salsabila,1732563289378244,29/04/2003,"Jl. Cihampelas No. 98, Payakumbuh, Aceh 86978"
Nadya Bayu,7449559385889619,16/12/2001,"Gg. Kapten Muslihat No. 9, Pekalongan, Papua Barat 93465"
Daffa Alya,3643092968031507,14/12/2002,"Gg. Rungkut Industri No. 8, Tanjungpinang, MU 33945"
Fadil Daffa,8125677349725014,31/07/2001,"Gg. Stasiun Wonokromo No. 99, Tangerang, Lampung 08106"
Fadil Rian,1377458415315114,08/09/2001,"Gg. Jamika No. 42, Tanjungbalai, Lampung 80571"
Alif Alya,8239324658393578,25/03/2005,"Gg. Otto Iskandardinata No. 666, Purwokerto, Bengkulu 43973"
Anya Tasya,9909224171143929,31/07/2003,"Gang Jend. Sudirman No. 1, Cirebon, Sumatera Selatan 60648"
Nadya Putri,3281647574661664,12/09/2002,"Jalan Rumah Sakit No. 20, Madiun, Bengkulu 79851"
Tasya Cinta,6826762027543667,26/02/2003,"Jl. Veteran No. 8, Bekasi, Nusa Tenggara Timur 35554"
Putri Fadil,4215338300674125,23/04/2002,"Gg. Cihampelas No. 993, Tangerang Selatan, MU 16484"
Cinta Vania,6906305305080999,04/11/2004,"Jl. Rajawali Timur No. 8, Bogor, SU 23303"
Aurel Zahra,2121172321306137,30/03/2002,"Jl. Jayawijaya No. 6, Tidore Kepulauan, Jawa Tengah 75011"
Nadya Vania,9011782331042733,29/11/2000,"Jl. Pasirkoja No. 67, Palangkaraya, Maluku Utara 61809"
Putri Aurel,4960796263049708,27/12/2000,"Jalan PHH. Mustofa No. 4, Kotamobagu, Sulawesi Tengah 60728"
Alif Vania,9770522243078832,28/04/2002,"Jalan Rajawali Barat No. 5, Purwokerto, Jawa Tengah 00996"
Arka Anya,7233597405506745,07/01/2005,"Gg. Lembong No. 82, Denpasar, Kalimantan Timur 31290"
Tasya Intan,9325447788688043,13/02/2005,"Jalan Pasir Koja No. 397, Manado, JB 14913"
Salsabila Intan,8216100253617835,26/02/2003,"Gang Indragiri No. 995, Pagaralam, JI 53364"
Cinta Rian,4823554808381541,05/07/2003,"Gang Cihampelas No. 47, Cirebon, DKI Jakarta 28341"
Anya Aurel,4485673127081132,03/02/2001,"Jalan BKR No. 4, Sungai Penuh, Jawa Tengah 63942"
Laras Raisa,3646011434776012,27/05/2004,"Jalan Kapten Muslihat No. 928, Palopo, Jawa Timur 99275"
Arka Aurel,1721194169129812,17/10/2000,"Jl. Pasirkoja No. 30, Pematangsiantar, Papua 77005"
Intan Aurel,3662886857113748,30/04/2001,"Gg. Suryakencana No. 59, Pematangsiantar, BB 38655"
Alya Arka,6427934339238158,04/08/2004,"Gg. Jend. A. Yani No. 184, Bukittinggi, KB 59136"
Raisa Nabila,7212847003056963,05/04/2003,"Gang Laswi No. 2, Banda Aceh, Kalimantan Utara 29922"
Nabila Dinda,3648913008493897,23/10/2004,"Jl. Pasirkoja No. 869, Tebingtinggi, Lampung 37977"
Arka Rian,8836600449925655,25/11/2001,"Jl. Wonoayu No. 8, Cimahi, Nusa Tenggara Barat 99136"
Cinta Laras,9990541717366805,24/09/2003,"Jl. M.T Haryono No. 6, Sibolga, Gorontalo 79908"
Bayu Nabila,6759827201049238,24/09/2004,"Jalan Rungkut Industri No. 0, Pematangsiantar, Sulawesi Barat 08637"
Nabila Bayu,7045484618999259,11/09/2003,"Jalan Pasir Koja No. 31, Serang, SR 30098"
Putri Vania,5621467975284063,15/06/2001,"Gg. Tubagus Ismail No. 12, Sungai Penuh, Kepulauan Bangka Belitung 86959"
Daffa Raka,1280491226431876,18/10/2002,"Gang Jend. Sudirman No. 88, Kota Administrasi Jakarta Pusat, MA 62137"
Vania Nabila,6472530714485836,29/10/2001,"Gang M.H Thamrin No. 0, Meulaboh, Aceh 27961"
Dinda Anya,2136976776959447,30/12/2000,"Jalan Rungkut Industri No. 669, Tasikmalaya, BE 77038"
Aurel Keyla,8012243793916276,19/11/2002,"Jl. Tebet Barat Dalam No. 530, Bekasi, Kepulauan Riau 56693"
Raka Iqbal,4448443682285212,08/11/2004,"Gg. Stasiun Wonokromo No. 5, Kota Administrasi Jakarta Utara, Kalimantan Timur 76904"
Bayu Anya,6450206263535488,09/12/2001,"Gg. Sadang Serang No. 848, Tanjungbalai, ST 97357"
Rizky Nadya,5052545078493897,15/05/2004,"Gg. Cikutra Timur No. 33, Padang Sidempuan, Nusa Tenggara Timur 43416"
Raisa Dinda,4998650510099676,12/05/2003,"Gang Setiabudhi No. 942, Payakumbuh, Kalimantan Selatan 34333"
Laras Naufal,2240247286139311,29/07/2002,"Jl. Ciwastra No. 7, Tual, BT 59579"
Cinta Iqbal,1635617874664713,15/10/2002,"Gang Merdeka No. 2, Pontianak, SN 80856"
Bayu Intan,3510213605858524,09/12/2001,"Gang Antapani Lama No. 369, Madiun, PA 28434"
Daffa Fadil,2021854154531953,17/06/2004,"Gg. W.R. Supratman No. 655, Kota Administrasi Jakarta Utara, ST 92931"
Daffa Salsabila,2675774844547083,30/09/2002,"Jalan Ir. H. Djuanda No. 2, Balikpapan, Kalimantan Barat 72885"
Nadya Iqbal,4485673127081024,03/08/2004,"Gg. Dipenogoro No. 2, Jambi, BB 17545"
