Nama,NIK,Tanggal Lahir,Alamat
"Putri Vania,5621467975284063,2001-06-15,""Gg. Tubagus Ismail No. 12, Sungai Penuh, Kepulauan Bangka Belitung 86959"""
"Daffa Raka,1280491226431876,2002-10-18,""Gang Jend. Sudirman No. 88, Kota Administrasi Jakarta Pusat, MA 62137"""
"Vania Nabila,6472530714485836,2001-10-29,""Gang M.H Thamrin No. 0, Meulaboh, Aceh 27961"""
"Dinda Anya,2136976776959447,2000-12-30,""Jalan Rungkut Industri No. 669, Tasikmalaya, BE 77038"""
"Aurel Keyla,8012243793916276,2002-11-19,""Jl. Tebet Barat Dalam No. 530, Bekasi, Kepulauan Riau 56693"""
"Raka Iqbal,4448443682285212,2004-11-08,""Gg. Stasiun Wonokromo No. 5, Kota Administrasi Jakarta Utara, Kalimantan Timur 76904"""
"Bayu Anya,6450206263535488,2001-12-09,""Gg. Sadang Serang No. 848, Tanjungbalai, ST 97357"""
"Rizky Nadya,5052545078493897,2004-05-15,""Gg. Cikutra Timur No. 33, Padang Sidempuan, Nusa Tenggara Timur 43416"""
"Raisa Dinda,4998650510099676,2003-05-12,""Gang Setiabudhi No. 942, Payakumbuh, Kalimantan Selatan 34333"""
"Laras Naufal,2240247286139311,2002-07-29,""Jl. Ciwastra No. 7, Tual, BT 59579"""
"Cinta Iqbal,4585169691799180,2002-10-15,""Gang Merdeka No. 2, Pontianak, SN 80856"""
"Bayu Intan,3510213605858524,2001-12-09,""Gang Antapani Lama No. 369, Madiun, PA 28434"""
"Daffa Fadil,2021854154531953,2004-06-17,""Gg. W.R. Supratman No. 655, Kota Administrasi Jakarta Utara, ST 92931"""
"Daffa Salsabila,2675774844547083,2002-09-30,""Jalan Ir. H. Djuanda No. 2, Balikpapan, Kalimantan Barat 72885"""
"Nadya Iqbal,4485673127081024,2004-08-03,""Gg. Dipenogoro No. 2, Jambi, BB 17545"""
