Nama,NIK,Tanggal Lahir,Alamat
Bagas Adinda,5049601258128914,22/08/2004,"Jalan Abdul Muis No. 071, Singkawang, Sulawesi Barat 05583"
Tania Gilang,1871999225237146,19/07/2000,"Jalan Rajawali Timur No. 88, Yogyakarta, Aceh 55699"
Gilang Reyhan,9515267832010083,12/09/2000,"Gang Tebet Barat Dalam No. 70, Pariaman, Jawa Tengah 85760"
Luna Bagas,6542830805735315,18/11/2004,"Jl. Joyoboyo No. 5, Batam, JT 05682"
Jordi Tiara,9671101950272522,22/04/2005,"Gg. Raya Setiabudhi No. 0, Padang Sidempuan, JK 35743"
Ziva Tania,3949280226612615,01/12/2004,"Gg. BKR No. 178, Pariaman, SS 35784"
Rendi Maya,3816685599612799,28/03/2003,"Jl. BKR No. 68, Ambon, Maluku 91570"
Kirana Fikri,2435231024049196,30/04/2001,"Jalan Raya Ujungberung No. 344, Yogyakarta, ST 42241"
Maya Gilang,5636232495127018,31/07/2000,"Gang Pasteur No. 493, Batu, Maluku 87020"
Fikri Sheila,8918010575533896,15/06/2004,"Jalan Dipatiukur No. 62, Singkawang, Nusa Tenggara Timur 53817"
Luna Hafiz,1208754726643854,13/04/2005,"Jalan Erlangga No. 77, Jayapura, Jawa Tengah 56255"
Gita Celine,4542012049147623,22/04/2004,"Gg. Gardujati No. 77, Kotamobagu, NT 81615"
Dion Sheila,9707137623363886,07/03/2005,"Gang Kutai No. 39, Purwokerto, Jawa Timur 61539"
Bella Adinda,6254296410240102,13/02/2004,"Jl. Kapten Muslihat No. 1, Binjai, SG 81724"
Reyhan Sheila,1455223792688143,26/11/2003,"Gang Yos Sudarso No. 0, Jambi, Jawa Barat 22784"
Luna Celine,6381969809597169,08/10/2003,"Gg. Rajawali Barat No. 4, Tasikmalaya, NT 90986"
Dion Jordi,5834081408208479,15/07/2001,"Jalan Abdul Muis No. 8, Binjai, LA 36965"
Celine Luna,1968248180885982,16/09/2003,"Jalan Kapten Muslihat No. 723, Mataram, SR 42201"
Rendi Fikri,3389762478193219,01/08/2000,"Jalan Ciwastra No. 679, Solok, Kalimantan Barat 86876"
Reyhan Luna,4294633882679295,22/06/2003,"Jalan Joyoboyo No. 38, Padang Sidempuan, Papua 09751"
Luna Bella,1407508068733441,21/05/2005,"Gg. Rawamangun No. 1, Kota Administrasi Jakarta Barat, SU 89490"
Tania Amanda,6136639371815829,17/05/2003,"Gang Joyoboyo No. 5, Manado, Lampung 20949"
Ziva Hafiz,4265322737266185,01/09/2002,"Jl. Kapten Muslihat No. 90, Pasuruan, DKI Jakarta 81442"
Felicia Gita,1662315261349139,03/11/2002,"Jl. Rungkut Industri No. 927, Cirebon, BB 72805"
Ziva Gita,5056431273108476,03/03/2001,"Gang Sukajadi No. 723, Banjarbaru, Kepulauan Bangka Belitung 02767"
Sheila Kirana,8433743482209847,06/01/2003,"Gang Waringin No. 28, Balikpapan, LA 65801"
Maya Felicia,6503788763749113,20/12/2004,"Gang Pasteur No. 14, Pangkalpinang, KU 85258"
Bagas Bella,3329877327811653,16/07/2000,"Gg. Dipenogoro No. 1, Malang, Kalimantan Timur 43009"
Felicia Dion,4361470730919871,26/03/2001,"Jl. Dipatiukur No. 2, Surabaya, Kalimantan Barat 24471"
Ziva Adinda,9457295512867112,22/04/2004,"Gang Jamika No. 406, Magelang, BE 42717"
Amanda Felicia,2299445597955527,27/02/2002,"Jalan Ir. H. Djuanda No. 6, Singkawang, GO 41011"
Tegar Celine,5585769234268953,24/04/2005,"Gg. Jakarta No. 0, Surakarta, PB 25690"
Amanda Sheila,1362583286946576,01/11/2004,"Gang Cikutra Timur No. 3, Meulaboh, SU 98554"
Gilang Tegar,2234313638462469,10/11/2003,"Gang Ciwastra No. 43, Purwokerto, Banten 34615"
Jordi Yasmin,5267109296157908,03/08/2004,"Jl. BKR No. 093, Meulaboh, DI Yogyakarta 78700"
Hafiz Nina,2341539292623825,04/05/2003,"Gg. Gedebage Selatan No. 878, Ternate, Kalimantan Timur 02707"
Gilang Luna,5643262914905932,03/11/2000,"Jl. Medokan Ayu No. 417, Semarang, DI Yogyakarta 17993"
Celine Reyhan,9389021725463004,27/12/2000,"Gang Raya Ujungberung No. 982, Jambi, Banten 51142"
Yasmin Reyhan,2463687567847201,25/12/2003,"Gg. Pacuan Kuda No. 0, Bengkulu, Papua Barat 07100"
Gita Ilham,6552945996824115,23/12/2001,"Gang Gegerkalong Hilir No. 248, Padang Sidempuan, Kalimantan Utara 90927"
Ilham Felicia,4029784149776069,14/03/2001,"Jalan Stasiun Wonokromo No. 318, Solok, PA 73403"
Aurel Cinta,7354905589836263,18/06/2003,"Jl. Sadang Serang No. 621, Makassar, SU 62962"
